key,value
0,00074380511
1,00085177701
2,00052046002
3,00015347530
4,00517381025
5,00087606005
6,00173065644
7,63323023420
8,00548301100
9,55390005710
10,00054850016
11,10223020101
12,76336045517
13,00641036925
14,00469281030
15,63323027810
16,51079095720
17,25382012634
18,00186012201
19,59630045016
20,00338001738
21,58468035703
22,00597018590
23,00372000604
24,00186045158
25,51079075620
26,00074298905
27,00173041200
28,00185075710
29,00703270403
30,00071015740
31,00338080704
32,00053768002
33,00032192482
34,00904504260
35,51079046220
36,55390013301
37,00015309520
38,00574012004
39,00085056605
40,00173066100
41,00093022390
42,00456261663
43,51079067005
44,00703877103
45,00536338101
46,00173044202
47,00072810015
48,00472040030
49,38779041004
50,59762093002
51,49884079374
52,00054858324
53,00121053107
54,00008083303
55,00015301020
56,00904627761
57,00068059701
58,00436093616
59,00338002304
60,00009011319
61,00998030315
62,66689032350
63,00904198861
64,00186107509
65,17314850101
66,42023011510
67,00004003909
68,00173056200
69,00026886148
70,00002762301
71,62175044214
72,00031890163
73,00517083001
74,63323023861
75,00409477702
76,00006011728
77,00078033806
78,00008001901
79,00300364201
80,59148000935
81,00003067371
82,68084027501
83,68774012060
84,24208075006
85,63304055201
86,63323065102
87,00088177849
88,00904565661
89,63672105002
90,39822041206
91,00049490041
92,66658023407
93,59011010020
94,63304082790
95,63323026920
96,00904628061
97,67211010201
98,00049491041
99,42002030001
100,00074395977
101,00409434673
102,63323028110
103,00002735501
104,00121065721
105,00049277041
106,00074104004
107,00173067502
108,58016050902
109,00009090020
110,61314020415
111,00781176413
112,00245021201
113,00781940895
114,11098050701
115,00172433360
116,00004080085
117,00173051900
118,00703468501
119,00781627043
120,65197000201
121,00299382045
122,66993004730
123,00469065773
124,61570004935
125,00245015401
126,00172375910
127,00029608031
128,00165002241
129,00049398041
130,00186037220
131,67386050155
132,17314940002
133,55390012301
134,00172439018
135,00002202402
136,00026851348
137,00087607411
138,00045081015
139,00003363112
140,00904775960
141,00074621411
142,00074739172
143,00039022110
144,54868348000
145,59148000735
146,08880950505
147,00074144304
148,00766150020
149,00781315796
150,00004035009
151,00074258611
152,00517305025
153,00904506260
154,00004012549
155,00093738001
156,10157992002
157,00338102541
158,00245006101
159,63323036920
160,47682021701
161,00904052560
162,68084008165
163,00517345025
164,00074449803
165,10019001654
166,61703041463
167,45802073032
168,08290301025
169,00904105661
170,55390004210
171,00338055311
172,00068027761
173,00338001710
174,10337065010
175,00074380711
176,00364064901
177,65231002101
178,54092041808
179,00024059120
180,68084024301
181,00008103003
182,66591023921
183,00409433201
184,54569041702
185,00517013410
186,00093026415
187,54092017312
188,10135011930
189,00409190301
190,00781711355
191,00054839424
192,10019011501
193,00054870725
194,00781893285
195,51285094288
196,00074120301
197,64253033335
198,00078035752
199,59075069010
200,00007440106
201,00168014231
202,49884072401
203,50458055010
204,24486060110
205,00056017475
206,68462014645
207,51079093120
208,00173047001
209,00172375810
210,00409672923
211,00049344019
212,00074110202
213,51079042420
214,00003059320
215,00409180001
216,55566504001
217,00168005546
218,63629377401
219,00009026002
220,61553008348
221,00087667217
222,50458032001
223,00003173840
224,00025103134
225,00430302015
226,58160084111
227,00338027003
228,00677117401
229,54569336000
230,00121065304
231,00074118002
232,00597007541
233,66490069010
234,00075062041
235,00409233725
236,54868252200
237,00904344061
238,00703418301
239,55390010901
240,00078031154
241,00406851501
242,00069306086
243,00172566310
244,00186001628
245,00075905110
246,00409401101
247,00998031515
248,00074798301
249,00006335645
250,00049343626
251,00074158411
252,00472132002
253,00002411230
254,63739012710
255,00009752901
256,00074177825
257,00575022530
258,00074509216
259,00071101468
260,00074165801
261,00071000724
262,00074464601
263,00597008461
264,24208063562
265,62584081301
266,49281000950
267,00591040401
268,57665000202
269,51079025520
270,00168006460
271,00009005605
272,00074318201
273,57902024901
274,00074233411
275,38779057808
276,51079090520
277,00364115001
278,62436052330
279,55390048101
280,51079098120
281,00186103401
282,00013010111
283,00006489400
284,00168001631
285,51079028520
286,00904598061
287,00002445385
288,66213042510
289,00409405101
290,00904125161
291,00409159304
292,00085073604
293,51079041720
294,60977011501
295,87701071218
296,00007336344
297,00054010625
298,00904563461
299,55390010810
