key,value
0,2
1,4
2,6
3,8
4,9
5,10
6,11
7,12
8,13
9,17
10,18
11,19
12,20
13,21
14,23
15,24
16,25
17,26
18,27
19,28
20,31
21,33
22,34
23,35
24,36
25,37
26,38
27,41
28,42
29,43
30,44
31,46
32,49
33,50
34,52
35,53
36,54
37,55
38,56
39,59
40,61
41,62
42,63
43,64
44,65
45,66
46,67
47,68
48,69
49,71
50,72
51,73
52,75
53,77
54,78
55,79
56,80
57,81
58,83
59,85
60,86
61,87
62,92
63,93
64,94
65,95
66,96
67,97
68,98
69,102
70,103
71,105
72,106
73,107
74,109
75,110
76,111
77,112
78,113
79,115
80,116
81,117
82,120
83,123
84,124
85,125
86,126
87,129
88,130
89,131
90,133
91,134
92,135
93,136
94,137
95,138
96,139
97,140
98,141
99,142
100,143
101,144
102,145
103,147
104,148
105,149
106,150
107,151
108,152
109,154
110,155
111,156
112,157
113,160
114,161
115,163
116,164
117,165
118,166
119,167
120,168
121,169
122,170
123,171
124,172
125,174
126,175
127,176
128,177
129,178
130,179
131,182
132,183
133,184
134,186
135,188
136,189
137,191
138,193
139,195
140,197
141,198
142,199
143,200
144,202
145,203
146,208
147,209
148,210
149,211
150,212
151,213
152,214
153,217
154,218
155,221
156,222
157,223
158,224
159,225
160,226
161,228
162,230
163,231
164,232
165,234
166,235
167,236
168,238
169,239
170,240
171,241
172,243
173,244
174,245
175,246
176,248
177,249
178,250
179,251
180,252
181,253
182,255
183,256
184,257
185,260
186,262
187,263
188,265
189,266
190,267
191,268
192,269
193,270
194,271
195,272
196,273
197,274
198,275
199,276
200,279
201,280
202,281
203,282
204,283
205,284
206,285
207,286
208,287
209,288
210,290
211,291
212,292
213,293
214,294
215,295
216,297
217,298
218,300
219,301
220,302
221,303
222,304
223,305
224,306
225,307
226,309
227,310
228,313
229,314
230,315
231,316
232,317
233,319
234,320
235,321
236,322
237,323
238,324
239,325
240,326
241,327
242,328
243,329
244,330
245,333
246,334
247,335
248,338
249,339
250,340
251,341
252,342
253,344
254,345
255,346
256,347
257,348
258,350
259,352
260,353
261,354
262,355
263,357
264,360
265,361
266,364
267,365
268,366
269,367
270,368
271,369
272,371
273,372
274,373
275,374
276,376
277,378
278,379
279,382
280,383
281,384
282,386
283,388
284,389
285,391
286,393
287,394
288,395
289,397
290,398
291,402
292,403
293,404
294,405
295,406
296,408
297,410
298,412
299,414
300,415
301,416
302,417
303,418
304,419
305,420
306,421
307,422
308,423
309,425
310,426
311,427
312,428
313,430
314,433
315,434
316,437
317,438
318,440
319,441
320,443
321,445
322,447
323,448
324,450
325,451
326,452
327,453
328,454
329,457
330,458
331,460
332,461
333,463
334,464
335,465
336,466
337,468
338,469
339,470
340,471
341,472
342,473
343,474
344,477
345,478
346,480
347,483
348,485
349,487
350,488
351,489
352,490
353,491
354,492
355,494
356,495
357,497
358,498
359,500
360,501
361,502
362,503
363,505
364,506
365,507
366,509
367,510
368,511
369,513
370,514
371,515
372,517
373,518
374,523
375,527
376,528
377,529
378,530
379,532
380,533
381,534
382,535
383,536
384,537
385,538
386,540
387,542
388,543
389,544
390,545
391,546
392,548
393,550
394,551
395,557
396,558
397,559
398,561
399,562
400,563
401,564
402,567
403,568
404,569
405,570
406,571
407,572
408,575
409,576
410,577
411,580
412,583
413,584
414,585
415,587
416,588
417,589
418,591
419,592
420,594
421,595
422,597
423,599
424,600
425,601
426,603
427,604
428,605
429,606
430,608
431,610
432,612
433,613
434,614
435,618
436,619
437,620
438,621
439,622
440,623
441,624
442,625
443,627
444,628
445,631
446,632
447,633
448,634
449,635
450,636
451,637
452,638
453,639
454,641
455,642
456,644
457,647
458,650
459,651
460,652
461,653
462,655
463,656
464,665
465,667
466,668
467,669
468,671
469,672
470,673
471,674
472,676
473,677
474,678
475,679
476,680
477,682
478,685
479,688
480,689
481,690
482,695
483,697
484,698
485,700
486,702
487,703
488,705
489,707
490,708
491,709
492,710
493,711
494,712
495,713
496,715
497,716
498,717
499,718
500,719
501,720
502,721
503,722
504,727
505,728
506,729
507,730
508,731
509,732
510,735
511,736
512,738
513,741
514,743
515,745
516,746
517,747
518,749
519,750
520,751
521,752
522,754
523,755
524,756
525,757
526,758
527,759
528,761
529,765
530,766
531,767
532,768
533,771
534,772
535,773
536,774
537,775
538,776
539,778
540,779
541,781
542,782
543,785
544,786
545,787
546,788
547,790
548,792
549,793
550,794
551,796
552,797
553,798
554,799
555,800
556,801
557,802
558,804
559,805
560,806
561,807
562,808
563,809
564,810
565,811
566,815
567,816
568,817
569,819
570,820
571,822
572,823
573,824
574,827
575,831
576,832
577,833
578,835
579,837
580,840
581,841
582,842
583,846
584,847
585,851
586,852
587,853
588,854
589,856
590,857
591,858
592,859
593,860
594,862
595,864
596,865
597,867
598,869
599,870
600,873
601,875
602,876
603,877
604,878
605,880
606,881
607,882
608,883
609,885
610,887
611,889
612,890
613,891
614,893
615,894
616,895
617,896
618,897
619,898
620,899
621,901
622,902
623,903
624,904
625,905
626,907
627,908
628,909
629,910
630,912
631,914
632,915
633,916
634,917
635,918
636,921
637,922
638,923
639,924
640,925
641,927
642,928
643,929
644,931
645,935
646,936
647,937
648,939
649,940
650,941
651,942
652,945
653,946
654,947
655,948
656,949
657,952
658,953
659,954
660,955
661,956
662,957
663,959
664,960
665,961
666,962
667,963
668,965
669,967
670,968
671,969
672,970
673,971
674,972
675,973
676,974
677,975
678,976
679,978
680,979
681,980
682,981
683,983
684,984
685,985
686,986
687,987
688,988
689,989
690,993
691,994
692,995
693,998
694,999
695,1000
696,1001
697,1002
698,1004
699,1005
700,1006
701,1007
702,1008
703,1009
704,1010
705,1012
706,1013
707,1014
708,1016
709,1017
710,1018
711,1019
712,1020
713,1021
714,1022
715,1026
716,1027
717,1029
718,1030
719,1033
720,1034
721,1036
722,1037
723,1038
724,1039
725,1040
726,1041
727,1042
728,1044
729,1045
730,1046
731,1047
732,1048
733,1049
734,1050
735,1051
736,1052
737,1053
738,1054
739,1056
740,1058
741,1059
742,1060
743,1062
744,1065
745,1066
746,1067
747,1068
748,1069
749,1071
750,1072
751,1073
752,1074
753,1076
754,1077
755,1079
756,1084
757,1085
758,1086
759,1087
760,1088
761,1091
762,1092
763,1093
764,1095
765,1096
766,1097
767,1098
768,1099
769,1100
770,1101
771,1102
772,1103
773,1104
774,1105
775,1106
776,1107
777,1108
778,1109
779,1110
780,1112
781,1113
782,1114
783,1115
784,1116
785,1117
786,1118
787,1119
788,1120
789,1121
790,1122
791,1123
792,1124
793,1125
794,1127
795,1128
796,1131
797,1133
798,1134
799,1135
800,1136
801,1137
802,1138
803,1139
804,1141
805,1142
806,1144
807,1145
808,1147
809,1148
810,1150
811,1151
812,1152
813,1153
814,1154
815,1155
816,1158
817,1159
818,1161
819,1163
820,1164
821,1165
822,1166
823,1167
824,1168
825,1169
826,1170
827,1173
828,1174
829,1178
830,1180
831,1182
832,1183
833,1184
834,1186
835,1188
836,1190
837,1192
838,1193
839,1194
840,1195
841,1196
842,1197
843,1199
844,1200
845,1201
846,1203
847,1204
848,1205
849,1206
850,1208
851,1209
852,1212
853,1213
854,1214
855,1215
856,1216
857,1217
858,1220
859,1222
860,1223
861,1224
862,1228
863,1230
864,1231
865,1232
866,1234
867,1236
868,1237
869,1238
870,1241
871,1247
872,1251
873,1252
874,1253
875,1254
876,1255
877,1256
878,1257
879,1258
880,1259
881,1260
882,1261
883,1262
884,1263
885,1265
886,1266
887,1267
888,1268
889,1269
890,1270
891,1271
892,1272
893,1274
894,1276
895,1278
896,1279
897,1280
898,1281
899,1282
900,1283
901,1286
902,1289
903,1290
904,1291
905,1292
906,1293
907,1295
